STAID,lat,lon,STAID_string
1094400,42.576201,-71.788129,01094400
1094500,42.501758,-71.722571,01094500
1095220,42.410925,-71.791183,01095220
1095375,42.37287,-71.828128,01095375
1097000,42.432038,-71.449785,01097000
1098530,42.325373,-71.397561,01098530
1099500,42.636758,-71.302005,01099500
1100600,42.568149,-71.214779,01100600
1101000,42.752869,-70.94561,01101000
1101500,42.569539,-71.026997,01101500
1102000,42.659816,-70.893662,01102000
1102345,42.46954,-71.006995,01102345
1102500,42.447318,-71.138943,01102500
1103280,42.13982,-71.389503,01103280
1103500,42.256209,-71.260056,01103500
1104500,42.372319,-71.233667,01104500
1105000,42.177599,-71.200886,01105000
1105500,42.154544,-71.145884,01105500
1105583,42.220933,-70.978103,01105583
1105600,42.190378,-70.944768,01105600
1105730,42.100657,-70.822541,01105730
1105870,41.990936,-70.733649,01105870
1105933,41.585382,-70.990317,01105933
1108000,41.93399,-70.956431,01108000
1109000,41.9476,-71.176716,01109000
1109060,41.866212,-71.122824,01109060
1109070,41.840379,-71.142824,01109070
1109403,41.830934,-71.351165,01109403
1109730,42.188984,-71.76507,01109730
1110000,42.230372,-71.710902,01110000
1111500,41.996487,-71.562563,01111500
1114000,41.833989,-71.411168,01114000
1114500,41.858988,-71.487282,01114500
1115098,41.852599,-71.606175,01115098
1115187,41.81871,-71.705068,01115187
1116000,41.6901,-71.565896,01116000
1116500,41.750934,-71.445058,01116500
1117000,41.641212,-71.445335,01117000
1117350,41.482323,-71.551172,01117350
1117420,41.476767,-71.604785,01117420
1117468,41.4926,-71.628119,01117468
1117500,41.4451,-71.680898,01117500
1117800,41.573988,-71.720623,01117800
1118000,41.498155,-71.716456,01118000
1118300,41.474821,-71.834237,01118300
1118500,41.383711,-71.833125,01118500
1119500,41.750654,-72.265635,01119500
1121000,41.843709,-72.168966,01121000
1122000,41.719821,-72.195634,01122000
1123000,41.671765,-72.052298,01123000
1123600,42.082873,-72.05702,01123600
1124000,42.022319,-71.955629,01124000
1125500,41.909264,-71.91285,01125500
1127000,41.597876,-71.984242,01127000
1127500,41.558709,-72.121467,01127500
1169900,42.54203,-72.693702,01169900
1170000,42.535919,-72.653423,01170000
1170500,42.578697,-72.574533,01170500
1171500,42.318978,-72.665091,01171500
1173000,42.390646,-72.060355,01173000
1173500,42.236204,-72.272581,01173500
1174500,42.393424,-72.238693,01174500
1175500,42.26787,-72.332582,01175500
1175670,42.265092,-72.004797,01175670
1176000,42.182316,-72.263691,01176000
1177000,42.160649,-72.513976,01177000
1179500,42.287867,-72.864264,01179500
1181000,42.237312,-72.895654,01181000
1183500,42.10676,-72.698981,01183500
1184000,41.987319,-72.605367,01184000
1184100,41.960652,-72.710371,01184100
1184490,41.913889,-72.55,01184490
1186000,41.962873,-73.017606,01186000
1187300,42.037316,-72.938991,01187300
1188090,41.755933,-72.886768,01188090
1192500,41.783155,-72.587311,01192500
1192883,41.520098,-72.705929,01192883
1193500,41.552321,-72.449253,01193500
1194500,41.427876,-72.33425,01194500
1195100,41.305932,-72.531201,01195100
1195490,41.601765,-72.883713,01195490
1196500,41.449542,-72.840934,01196500
1196561,41.43565,-72.77926,01196561
1196620,41.420931,-72.90288,01196620
1197000,42.469529,-73.196492,01197000
1197500,42.232033,-73.354833,01197500
1199000,41.957316,-73.369286,01199000
1199050,41.942316,-73.390953,01199050
1202501,41.719263,-73.292895,01202501
1204000,41.480651,-73.224559,01204000
1205500,41.383985,-73.167612,01205500
1206900,41.673708,-73.069553,01206900
1208500,41.442319,-73.062608,01208500
1208990,41.29454,-73.39512,01208990
